packet_id,ue_id,flow_id,attempt_idx,slot_idx,t_tx_start_ms,allocated_bandwidth_mhz,mcs,snr_db,bler,is_success,bits_sent,remaining_bits_after,is_los
HRP-ue00-000000,0,HRP,1,0,0,0.08533333333333333,16QAM,28.47737719630345,2.559943368396489e-10,True,256,0,False
HRP-ue01-000000,1,HRP,1,0,0,0.08533333333333333,16QAM,31.559420886189923,2.559943368396489e-10,True,256,0,False
HRP-ue02-000000,2,HRP,1,0,0,0.08533333333333333,16QAM,49.129306984847744,2.559943368396489e-10,True,256,0,True
HRP-ue03-000000,3,HRP,1,0,0,0.08533333333333333,16QAM,27.500900961302527,2.559943368396489e-10,True,256,0,False
HRP-ue04-000000,4,HRP,1,0,0,0.08533333333333333,16QAM,40.141328897509716,2.559943368396489e-10,True,256,0,False
HRP-ue05-000000,5,HRP,1,0,0,0.08533333333333333,16QAM,49.928438017391805,2.559943368396489e-10,True,256,0,True
HRP-ue06-000000,6,HRP,1,0,0,0.08533333333333333,16QAM,34.03842946560674,2.559943368396489e-10,True,256,0,False
HRP-ue07-000000,7,HRP,1,0,0,0.08533333333333333,16QAM,42.85500078813175,2.559943368396489e-10,True,256,0,False
HRP-ue08-000000,8,HRP,1,0,0,0.08533333333333333,16QAM,47.19493481277758,2.559943368396489e-10,True,256,0,True
HRP-ue09-000000,9,HRP,1,0,0,0.08533333333333333,16QAM,26.421393758415906,2.559943368396489e-10,True,256,0,False
SRP-ue00-000000,0,SRP,1,0,0,0.5333333333333333,16QAM,28.47737719630345,1.5999646052478056e-09,True,1600,0,False
SRP-ue01-000000,1,SRP,1,0,0,0.5333333333333333,16QAM,31.559420886189923,1.5999646052478056e-09,True,1600,0,False
SRP-ue02-000000,2,SRP,1,0,0,0.08000000000000074,16QAM,49.129306984847744,1.5999646052478056e-09,True,240,1360,True
ETC-ue06-000000,6,ETC,1,1,1,0.042666666666666665,16QAM,50.34951703512554,1.2799716841982445e-10,True,128,0,True
ETC-ue09-000000,9,ETC,1,1,1,0.042666666666666665,16QAM,38.466163336036786,1.2799716841982445e-10,True,128,0,False
SRP-ue03-000000,3,SRP,1,1,1,0.5333333333333333,16QAM,55.38054887392743,1.5999646052478056e-09,True,1600,0,True
SRP-ue04-000000,4,SRP,1,1,1,0.5333333333333333,16QAM,49.88522914156532,1.5999646052478056e-09,True,1600,0,False
SRP-ue05-000000,5,SRP,1,1,1,0.5333333333333333,16QAM,41.33660281730982,1.5999646052478056e-09,True,1600,0,True
SRP-ue06-000000,6,SRP,1,1,1,0.31466666666666687,16QAM,50.34951703512554,1.5999646052478056e-09,True,944,656,True
ETC-ue00-000000,0,ETC,1,2,2,0.042666666666666665,16QAM,44.8296282597539,1.2799716841982445e-10,True,128,0,False
ETC-ue03-000000,3,ETC,1,2,2,0.042666666666666665,16QAM,58.13726860370104,1.2799716841982445e-10,True,128,0,True
HRP-ue00-000001,0,HRP,1,2,2,0.08533333333333333,16QAM,44.8296282597539,2.559943368396489e-10,True,256,0,False
HRP-ue01-000001,1,HRP,1,2,2,0.08533333333333333,16QAM,23.39927354824941,3.5857397051586304e-09,True,256,0,False
HRP-ue02-000001,2,HRP,1,2,2,0.08533333333333333,16QAM,37.15013112332834,2.559943368396489e-10,True,256,0,False
HRP-ue03-000001,3,HRP,1,2,2,0.08533333333333333,16QAM,58.13726860370104,2.559943368396489e-10,True,256,0,True
HRP-ue04-000001,4,HRP,1,2,2,0.08533333333333333,16QAM,38.44067394146115,2.559943368396489e-10,True,256,0,False
HRP-ue05-000001,5,HRP,1,2,2,0.08533333333333333,16QAM,39.78670188674439,2.559943368396489e-10,True,256,0,True
HRP-ue06-000001,6,HRP,1,2,2,0.08533333333333333,16QAM,47.863581867694464,2.559943368396489e-10,True,256,0,False
HRP-ue07-000001,7,HRP,1,2,2,0.08533333333333333,16QAM,45.67079572511359,2.559943368396489e-10,True,256,0,True
HRP-ue08-000001,8,HRP,1,2,2,0.08533333333333333,16QAM,51.19643195203642,2.559943368396489e-10,True,256,0,True
HRP-ue09-000001,9,HRP,1,2,2,0.08533333333333333,16QAM,33.07079509193731,2.559943368396489e-10,True,256,0,True
SRP-ue07-000000,7,SRP,1,2,2,0.5333333333333333,16QAM,45.67079572511359,1.5999646052478056e-09,True,1600,0,True
SRP-ue08-000000,8,SRP,1,2,2,0.5280000000000008,16QAM,51.19643195203642,1.5999646052478056e-09,True,1584,16,True
ETC-ue01-000000,1,ETC,1,3,3,0.042666666666666665,16QAM,52.196732289349384,1.2799716841982445e-10,True,128,0,True
ETC-ue07-000000,7,ETC,1,3,3,0.042666666666666665,16QAM,39.21454784278039,1.2799716841982445e-10,True,128,0,False
SRP-ue09-000000,9,SRP,1,3,3,0.5333333333333333,16QAM,30.625098008592037,1.5999646052478056e-09,True,1600,0,False
SRP-ue02-000000,2,SRP,2,3,3,0.4533333333333333,16QAM,50.63067378938545,1.5999646052478056e-09,True,1360,0,True
SRP-ue00-000001,0,SRP,1,3,3,0.5333333333333333,16QAM,41.05314338150491,1.5999646052478056e-09,True,1600,0,False
SRP-ue01-000001,1,SRP,1,3,3,0.39466666666666683,16QAM,52.196732289349384,1.5999646052478056e-09,True,1184,416,True
ETC-ue04-000000,4,ETC,1,4,4,0.042666666666666665,16QAM,40.208169034815676,1.2799716841982445e-10,True,128,0,False
HRP-ue00-000002,0,HRP,1,4,4,0.08533333333333333,16QAM,52.89722208216585,2.559943368396489e-10,True,256,0,True
HRP-ue01-000002,1,HRP,1,4,4,0.08533333333333333,16QAM,56.10241198985957,2.559943368396489e-10,True,256,0,True
HRP-ue02-000002,2,HRP,1,4,4,0.08533333333333333,16QAM,53.128649045368775,2.559943368396489e-10,True,256,0,True
HRP-ue03-000002,3,HRP,1,4,4,0.08533333333333333,16QAM,46.98359859397429,2.559943368396489e-10,True,256,0,False
HRP-ue04-000002,4,HRP,1,4,4,0.08533333333333333,16QAM,40.208169034815676,2.559943368396489e-10,True,256,0,False
HRP-ue05-000002,5,HRP,1,4,4,0.08533333333333333,16QAM,38.07174869533567,2.559943368396489e-10,True,256,0,False
HRP-ue06-000002,6,HRP,1,4,4,0.08533333333333333,16QAM,28.005464186229535,2.559943368396489e-10,True,256,0,False
HRP-ue07-000002,7,HRP,1,4,4,0.08533333333333333,16QAM,43.260605573820015,2.559943368396489e-10,True,256,0,False
HRP-ue08-000002,8,HRP,1,4,4,0.08533333333333333,16QAM,34.226682378298605,2.559943368396489e-10,True,256,0,False
HRP-ue09-000002,9,HRP,1,4,4,0.256,QPSK,6.118736195308011,0.9962172759144776,False,0,256,False
SRP-ue02-000001,2,SRP,1,4,4,0.5333333333333333,16QAM,53.128649045368775,1.5999646052478056e-09,True,1600,0,True
SRP-ue03-000001,3,SRP,1,4,4,0.4000000000000007,16QAM,46.98359859397429,1.5999646052478056e-09,True,1200,400,False
HRP-ue09-000002,9,HRP,2,5,5,0.08533333333333333,16QAM,38.12505251963746,2.559943368396489e-10,True,256,0,True
SRP-ue04-000001,4,SRP,1,5,5,0.5333333333333333,16QAM,49.72079565887195,1.5999646052478056e-09,True,1600,0,True
SRP-ue05-000001,5,SRP,1,5,5,0.5333333333333333,16QAM,42.9294628100817,1.5999646052478056e-09,True,1600,0,False
SRP-ue06-000001,6,SRP,1,5,5,0.5333333333333333,16QAM,47.46751389154205,1.5999646052478056e-09,True,1600,0,True
SRP-ue07-000001,7,SRP,1,5,5,0.31466666666666687,16QAM,38.33726157486211,1.5999646052478056e-09,True,944,656,False
ETC-ue00-000001,0,ETC,1,6,6,0.042666666666666665,16QAM,53.02162947065652,1.2799716841982445e-10,True,128,0,True
ETC-ue03-000001,3,ETC,1,6,6,0.042666666666666665,16QAM,50.24454998518279,1.2799716841982445e-10,True,128,0,True
ETC-ue05-000000,5,ETC,1,6,6,0.042666666666666665,16QAM,48.629596000108755,1.2799716841982445e-10,True,128,0,True
ETC-ue06-000001,6,ETC,1,6,6,0.042666666666666665,16QAM,44.29188323591841,1.2799716841982445e-10,True,128,0,True
HRP-ue00-000003,0,HRP,1,6,6,0.08533333333333333,16QAM,53.02162947065652,2.559943368396489e-10,True,256,0,True
HRP-ue01-000003,1,HRP,1,6,6,0.08533333333333333,16QAM,34.26071371399726,2.559943368396489e-10,True,256,0,False
HRP-ue02-000003,2,HRP,1,6,6,0.08533333333333333,16QAM,29.776657528156658,2.559943368396489e-10,True,256,0,False
HRP-ue03-000003,3,HRP,1,6,6,0.08533333333333333,16QAM,50.24454998518279,2.559943368396489e-10,True,256,0,True
HRP-ue04-000003,4,HRP,1,6,6,0.08533333333333333,16QAM,49.478854051047485,2.559943368396489e-10,True,256,0,True
HRP-ue05-000003,5,HRP,1,6,6,0.08533333333333333,16QAM,48.629596000108755,2.559943368396489e-10,True,256,0,True
HRP-ue06-000003,6,HRP,1,6,6,0.08533333333333333,16QAM,44.29188323591841,2.559943368396489e-10,True,256,0,True
HRP-ue07-000003,7,HRP,1,6,6,0.08533333333333333,16QAM,44.729107466746065,2.559943368396489e-10,True,256,0,False
HRP-ue08-000003,8,HRP,1,6,6,0.08533333333333333,16QAM,40.8574935831266,2.559943368396489e-10,True,256,0,False
HRP-ue09-000003,9,HRP,1,6,6,0.08533333333333333,16QAM,35.65950439633462,2.559943368396489e-10,True,256,0,False
SRP-ue08-000001,8,SRP,1,6,6,0.5333333333333333,16QAM,40.8574935831266,1.5999646052478056e-09,True,1600,0,False
SRP-ue09-000001,9,SRP,1,6,6,0.44266666666666743,16QAM,35.65950439633462,1.5999646052478056e-09,True,1328,272,False
ETC-ue01-000001,1,ETC,1,7,7,0.042666666666666665,16QAM,53.591877985787875,1.2799716841982445e-10,True,128,0,True
ETC-ue08-000000,8,ETC,1,7,7,0.042666666666666665,16QAM,23.929487701374022,1.2799716841982445e-10,True,128,0,False
ETC-ue09-000001,9,ETC,1,7,7,0.128,QPSK,16.90747374105832,1.5869261460466078e-10,True,128,0,False
SRP-ue06-000000,6,SRP,2,7,7,0.21866666666666668,16QAM,42.453870750966345,1.5999646052478056e-09,True,656,0,True
SRP-ue00-000002,0,SRP,1,7,7,0.5333333333333333,16QAM,38.357588128588716,1.5999646052478056e-09,True,1600,0,False
SRP-ue01-000002,1,SRP,1,7,7,0.5333333333333333,16QAM,53.591877985787875,1.5999646052478056e-09,True,1600,0,True
SRP-ue02-000002,2,SRP,1,7,7,0.5013333333333335,16QAM,31.550680413153337,1.5999646052478056e-09,True,1504,96,False
ETC-ue02-000000,2,ETC,1,8,8,0.042666666666666665,16QAM,40.10841263903828,1.2799716841982445e-10,True,128,0,False
ETC-ue05-000001,5,ETC,1,8,8,0.042666666666666665,16QAM,41.39834706726005,1.2799716841982445e-10,True,128,0,True
HRP-ue00-000004,0,HRP,1,8,8,0.08533333333333333,16QAM,39.81334588581172,2.559943368396489e-10,True,256,0,False
HRP-ue01-000004,1,HRP,1,8,8,0.08533333333333333,16QAM,54.59670695299407,2.559943368396489e-10,True,256,0,True
HRP-ue02-000004,2,HRP,1,8,8,0.08533333333333333,16QAM,40.10841263903828,2.559943368396489e-10,True,256,0,False
HRP-ue03-000004,3,HRP,1,8,8,0.08533333333333333,16QAM,48.511215122281605,2.559943368396489e-10,True,256,0,True
HRP-ue04-000004,4,HRP,1,8,8,0.08533333333333333,16QAM,38.23809206819116,2.559943368396489e-10,True,256,0,False
HRP-ue05-000004,5,HRP,1,8,8,0.08533333333333333,16QAM,41.39834706726005,2.559943368396489e-10,True,256,0,True
HRP-ue06-000004,6,HRP,1,8,8,0.08533333333333333,16QAM,36.15280666178629,2.559943368396489e-10,True,256,0,True
HRP-ue07-000004,7,HRP,1,8,8,0.08533333333333333,16QAM,40.76745392659342,2.559943368396489e-10,True,256,0,False
HRP-ue08-000004,8,HRP,1,8,8,0.08533333333333333,16QAM,34.82640595461909,2.559943368396489e-10,True,256,0,False
HRP-ue09-000004,9,HRP,1,8,8,0.08533333333333333,16QAM,39.94716157684538,2.559943368396489e-10,True,256,0,False
SRP-ue03-000002,3,SRP,1,8,8,0.5333333333333333,16QAM,48.511215122281605,1.5999646052478056e-09,True,1600,0,True
SRP-ue04-000002,4,SRP,1,8,8,0.5280000000000008,16QAM,38.23809206819116,1.5999646052478056e-09,True,1584,16,False
